IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
,70.0,14.5,Ya,Menengah,L,Tidak,Tidak
3.53,91.0,10.5,Ya,Rendah,L,Ya,Ya
3.01,68.0,11.9,Ya,Rendah,L,Tidak,Tidak
3.09,70.0,15.2,Ya,Tinggi,P,Tidak,Ya
3.23,75.0,11.0,Tidak,Tinggi,L,Ya,Ya
3.29,78.0,15.0,Ya,Menengah,P,Tidak,Ya
3.2,61.0,14.0,Ya,Tinggi,P,Tidak,Ya
3.08,77.0,7.6,Ya,Tinggi,L,Tidak,Ya
3.66,77.0,16.3,Ya,Rendah,P,Tidak,Tidak
3.78,62.0,10.0,Ya,Menengah,P,Tidak,Ya
2.92,74.0,5.4,Ya,Menengah,L,Tidak,Tidak
2.51,70.0,6.3,Ya,Rendah,L,Tidak,Ya
2.24,54.0,7.9,Tidak,Menengah,P,Tidak,Tidak
3.73,89.0,12.2,Tidak,Menengah,L,Ya,Ya
3.0,77.0,10.9,Ya,Menengah,L,Ya,Ya
2.97,68.0,9.2,Tidak,Rendah,L,Ya,Tidak
3.24,88.0,13.0,Tidak,Rendah,P,Tidak,Ya
2.86,76.0,13.9,Tidak,Tinggi,P,Tidak,Ya
2.88,71.0,11.8,Tidak,Rendah,P,Tidak,Tidak
3.27,66.0,12.1,Tidak,Rendah,P,Ya,Ya
3.23,79.0,13.0,Tidak,Rendah,L,Ya,Ya
3.48,50.0,3.6,Tidak,Menengah,P,Tidak,Tidak
2.73,70.0,10.5,Ya,Menengah,L,Tidak,Tidak
2.77,53.0,3.3,Ya,Menengah,L,Tidak,Ya
2.75,71.0,10.6,Ya,Rendah,P,Tidak,Tidak
2.21,69.0,10.5,Ya,Rendah,L,Tidak,Ya
3.62,66.0,16.7,Ya,Tinggi,P,Tidak,Ya
3.21,64.0,16.8,Ya,Menengah,P,Tidak,Ya
3.01,,12.8,Ya,Menengah,P,Tidak,Ya
2.26,45.0,10.0,Ya,Menengah,P,Ya,Tidak
3.41,77.0,13.9,Tidak,Menengah,P,Ya,Ya
2.42,63.0,,Ya,Rendah,L,Tidak,Tidak
3.46,84.0,12.0,Ya,Menengah,L,Ya,Ya
3.27,73.0,15.9,Tidak,Menengah,L,Ya,Ya
2.83,73.0,8.3,Tidak,Rendah,L,Tidak,Ya
3.13,73.0,15.7,Tidak,Tinggi,L,Tidak,Ya
3.05,77.0,14.7,Tidak,Menengah,P,Tidak,Ya
3.1,74.0,,Tidak,Menengah,L,Tidak,Ya
2.85,74.0,16.4,Ya,,L,Tidak,Tidak
2.71,85.0,14.8,Ya,Menengah,L,Tidak,Ya
3.01,64.0,12.9,Ya,Tinggi,L,Tidak,Ya
2.95,71.0,9.0,Ya,Menengah,P,Tidak,Ya
3.0,77.0,9.1,Tidak,Tinggi,P,Tidak,Ya
2.88,73.0,8.3,Ya,Rendah,P,Tidak,Ya
3.23,93.0,14.2,Tidak,Menengah,P,Ya,Ya
2.79,60.0,8.2,Ya,Menengah,L,Tidak,Ya
2.69,59.0,12.3,Ya,Rendah,P,Tidak,Tidak
2.26,56.0,7.0,Ya,Menengah,L,Tidak,Tidak
2.88,78.0,11.7,Ya,Tinggi,L,Tidak,Ya
3.64,77.0,12.4,Tidak,Menengah,L,Tidak,Ya
2.91,84.0,20.3,Ya,,P,Ya,Ya
2.42,52.0,5.0,Tidak,Rendah,L,Tidak,Ya
2.77,85.0,16.4,Tidak,Rendah,L,Ya,Ya
2.62,,11.1,Ya,Rendah,P,Ya,Tidak
3.08,86.0,14.1,Ya,Tinggi,L,Tidak,Ya
2.7,100.0,12.5,Tidak,Menengah,P,Tidak,Ya
3.1,76.0,12.3,Ya,Rendah,L,Ya,Ya
2.83,77.0,11.4,Tidak,Menengah,L,Tidak,Tidak
2.44,73.0,16.3,Ya,Rendah,L,Ya,Ya
2.67,50.0,8.7,Tidak,Rendah,P,Ya,Tidak
3.56,72.0,16.5,,Menengah,L,Tidak,Ya
3.04,58.0,9.4,Ya,Menengah,L,Ya,Ya
2.82,,12.3,Ya,Tinggi,L,Tidak,Tidak
2.9,83.0,7.7,Tidak,Menengah,P,Tidak,Ya
3.49,77.0,13.8,Ya,Menengah,P,Ya,Ya
3.88,83.0,17.8,Ya,Menengah,P,Tidak,Ya
3.22,69.0,12.2,Ya,Tinggi,L,Ya,Ya
2.51,,11.2,Ya,Menengah,P,Ya,Ya
2.85,76.0,8.0,Tidak,Tinggi,P,Tidak,Ya
2.97,70.0,11.1,Tidak,Menengah,P,Tidak,Tidak
2.01,,6.1,Ya,Tinggi,L,Tidak,Tidak
2.67,63.0,6.8,Tidak,Rendah,L,Ya,Ya
3.64,70.0,12.9,Ya,Menengah,L,Tidak,Ya
3.25,66.0,17.3,Ya,Menengah,P,Ya,Ya
3.81,68.0,23.2,Tidak,Menengah,L,Ya,Ya
2.76,66.0,9.7,Tidak,Menengah,L,Ya,Ya
3.3,81.0,18.2,Ya,Tinggi,L,Tidak,Tidak
2.93,62.0,13.5,Ya,Tinggi,P,Ya,Ya
2.5,69.0,9.9,Ya,Rendah,L,Tidak,Ya
2.72,75.0,13.7,Tidak,Menengah,P,Tidak,Ya
2.99,52.0,12.2,Ya,Menengah,P,Tidak,Tidak
3.13,62.0,10.9,Ya,Rendah,P,Tidak,Ya
2.44,72.0,8.9,Tidak,Rendah,L,Tidak,Ya
2.79,66.0,4.9,Ya,Rendah,P,Ya,Tidak
2.29,53.0,5.8,Ya,Menengah,P,Ya,Tidak
3.21,77.0,14.6,Ya,Menengah,P,Tidak,Ya
3.16,81.0,11.4,Ya,Tinggi,L,Tidak,Ya
3.17,76.0,9.6,Ya,Menengah,L,Ya,Ya
2.95,72.0,12.5,Tidak,Tinggi,L,Tidak,Ya
3.5,72.0,15.2,Tidak,Menengah,P,Ya,Tidak
2.95,67.0,12.7,Tidak,Menengah,L,Ya,Ya
2.9,71.0,7.9,Tidak,Rendah,L,Ya,Ya
2.98,80.0,16.9,Ya,Menengah,L,Tidak,Ya
4.0,87.0,18.8,Ya,,P,Ya,Ya
3.24,77.0,14.5,Tidak,Tinggi,L,Tidak,Ya
3.55,86.0,16.4,Ya,Tinggi,P,Tidak,Ya
2.64,78.0,15.5,Tidak,Rendah,P,Ya,Tidak
3.06,86.0,16.5,Tidak,,L,Tidak,Ya
3.5,82.0,13.0,Ya,,P,Ya,Ya
2.94,66.0,12.9,,Rendah,L,Tidak,Ya
2.16,58.0,14.1,Ya,Menengah,P,Tidak,Tidak
3.18,81.0,7.6,Ya,Menengah,P,Ya,Ya
2.95,78.0,14.8,Ya,Menengah,P,Ya,Ya
2.76,49.0,7.1,Ya,Tinggi,L,Tidak,Tidak
2.55,61.0,8.8,Tidak,Menengah,P,Tidak,Ya
3.46,87.0,,Tidak,Tinggi,P,Tidak,Ya
3.36,72.0,13.9,Tidak,Rendah,P,Tidak,Ya
2.83,73.0,16.4,Ya,Rendah,P,Tidak,Ya
2.72,84.0,10.9,Ya,Menengah,L,Tidak,Ya
2.41,57.0,7.9,Ya,Tinggi,L,Ya,Tidak
2.88,61.0,9.5,Ya,Rendah,L,Tidak,Ya
2.54,75.0,,Tidak,Menengah,P,Tidak,Ya
2.44,76.0,12.3,Ya,Menengah,L,Ya,Ya
3.44,81.0,15.0,Ya,Rendah,L,Ya,Ya
2.76,79.0,10.6,Tidak,Menengah,P,Tidak,Ya
2.92,76.0,13.9,Ya,Tinggi,P,Tidak,Ya
2.11,71.0,8.0,Ya,Menengah,L,Tidak,Tidak
2.66,70.0,12.3,Ya,Rendah,P,Ya,Ya
2.94,73.0,12.5,Tidak,Tinggi,L,Ya,Ya
2.92,67.0,7.5,Tidak,Rendah,P,Ya,Ya
3.57,57.0,11.6,Ya,Tinggi,L,Tidak,Tidak
3.4,76.0,9.8,Tidak,Rendah,P,Tidak,Tidak
2.7,76.0,,Tidak,Menengah,P,Ya,Ya
3.16,82.0,19.1,Tidak,Menengah,P,Ya,Ya
3.15,62.0,10.1,Ya,Rendah,L,Ya,Ya
2.95,72.0,11.5,Ya,,P,Ya,Ya
2.05,58.0,2.1,Tidak,Rendah,L,Tidak,Ya
2.54,67.0,6.9,Ya,Rendah,L,Tidak,Tidak
3.49,,9.4,Ya,Rendah,P,Ya,Ya
3.1,63.0,9.3,Tidak,Menengah,L,Tidak,Ya
3.1,84.0,18.0,Ya,Tinggi,P,Tidak,Ya
3.04,82.0,11.8,Tidak,Tinggi,P,Ya,Ya
3.19,78.0,15.7,Tidak,Rendah,L,Ya,Ya
2.95,94.0,12.2,Tidak,Menengah,P,Tidak,Ya
2.74,67.0,10.6,Ya,Rendah,L,Tidak,Tidak
2.93,75.0,11.6,Tidak,Menengah,P,Tidak,Ya
3.18,65.0,12.5,,Tinggi,L,Tidak,Ya
3.69,78.0,18.9,Tidak,Menengah,P,Tidak,Ya
2.22,62.0,2.7,Tidak,Menengah,L,Tidak,Ya
2.42,69.0,4.0,Tidak,Menengah,L,Tidak,Ya
3.05,73.0,10.3,Ya,Tinggi,L,Ya,Ya
2.91,84.0,12.1,Ya,Menengah,P,Ya,Ya
3.16,73.0,13.3,Ya,,P,Ya,Ya
2.94,71.0,13.9,Ya,Menengah,P,Ya,Ya
2.81,94.0,9.0,Ya,Rendah,P,Ya,Ya
2.82,79.0,14.6,Tidak,Rendah,P,Tidak,Ya
3.43,69.0,14.6,Ya,Rendah,P,Tidak,Tidak
2.79,66.0,12.7,Tidak,Menengah,L,Tidak,Tidak
3.54,68.0,15.9,Tidak,Menengah,P,Ya,Ya
2.85,80.0,11.6,Ya,Rendah,P,Tidak,Tidak
2.8,66.0,9.8,Tidak,Menengah,L,Tidak,Tidak
3.91,78.0,15.3,Tidak,Tinggi,L,Ya,Ya
2.58,72.0,12.4,Ya,Menengah,P,Tidak,Tidak
2.4,79.0,12.0,Ya,Menengah,L,Tidak,Ya
3.48,70.0,16.4,Tidak,Rendah,P,Ya,Ya
1.85,49.0,2.7,Tidak,Tinggi,L,Tidak,Ya
2.44,64.0,4.8,Tidak,Rendah,L,Tidak,Tidak
2.39,69.0,5.8,Tidak,Rendah,P,Tidak,Tidak
2.97,74.0,11.0,Tidak,Tinggi,L,Tidak,Ya
2.41,63.0,11.0,Ya,Menengah,L,Tidak,Tidak
2.54,,6.0,Ya,Menengah,P,Tidak,Tidak
2.68,,8.1,Ya,Menengah,P,Tidak,Ya
2.26,62.0,8.6,Tidak,Menengah,L,Tidak,Tidak
3.08,74.0,20.3,Ya,Rendah,L,Ya,Ya
3.37,92.0,17.7,Ya,Rendah,P,Ya,Ya
2.34,74.0,8.9,Tidak,Rendah,P,Ya,Ya
2.66,74.0,9.0,Ya,Rendah,P,Tidak,Ya
2.85,78.0,7.9,Tidak,Tinggi,L,Ya,Ya
2.59,86.0,2.9,Ya,Rendah,L,Ya,Ya
2.52,55.0,11.5,Tidak,Menengah,L,Ya,Tidak
2.52,60.0,8.0,Tidak,Menengah,L,Tidak,Ya
2.58,66.0,11.7,Ya,Menengah,P,Tidak,Tidak
2.56,55.0,,Tidak,Menengah,L,Tidak,Tidak
3.0,58.0,9.0,Ya,Menengah,P,Tidak,Ya
2.78,71.0,13.1,Tidak,Tinggi,P,Tidak,Ya
2.96,62.0,13.5,Tidak,Menengah,P,Tidak,Ya
3.02,78.0,14.2,Tidak,Tinggi,L,Tidak,Ya
2.7,,7.2,,Tinggi,P,Tidak,Ya
3.7,81.0,15.4,Ya,Menengah,P,Ya,Ya
2.82,70.0,7.3,Tidak,Rendah,P,Tidak,Tidak
2.59,81.0,14.5,Tidak,Menengah,L,Tidak,Ya
2.88,66.0,10.5,Ya,Rendah,L,Tidak,Ya
3.26,85.0,6.5,Ya,Menengah,P,Tidak,Ya
2.81,73.0,11.2,Ya,Tinggi,L,Tidak,Ya
3.03,56.0,13.5,Tidak,,L,Tidak,Ya
2.7,66.0,14.5,Ya,Menengah,P,Tidak,Ya
2.03,53.0,,Ya,Rendah,P,Tidak,Tidak
3.39,81.0,18.6,Tidak,Tinggi,P,Tidak,Ya
2.48,74.0,14.5,Ya,Rendah,L,Ya,Ya
2.58,64.0,9.5,Tidak,Rendah,P,Tidak,Ya
3.72,,13.5,Ya,Rendah,L,Ya,Tidak
2.79,86.0,18.2,Tidak,Rendah,P,Ya,Ya
3.11,89.0,,Tidak,Menengah,P,Tidak,Ya
2.11,57.0,7.1,Tidak,Menengah,L,Ya,Ya
2.37,55.0,6.8,Ya,Rendah,L,Ya,Tidak
3.08,78.0,16.4,Tidak,Rendah,L,Tidak,Ya
3.0,66.0,6.3,,Rendah,P,Ya,Ya
2.57,47.0,6.7,Ya,Menengah,P,Tidak,Tidak
2.81,66.0,8.6,Ya,Rendah,P,Ya,Ya
3.06,74.0,13.7,Ya,Menengah,P,Ya,Ya
2.86,67.0,,Tidak,Rendah,L,Ya,Ya
2.23,59.0,7.9,Tidak,Rendah,P,Tidak,Tidak
,48.0,9.3,Tidak,Menengah,L,Tidak,Tidak
2.34,67.0,9.2,Tidak,Menengah,L,Tidak,Tidak
2.85,66.0,7.0,Ya,Rendah,P,Tidak,Tidak
3.88,88.0,19.6,Tidak,Rendah,P,Ya,Ya
3.25,85.0,13.7,Ya,Tinggi,L,Tidak,Ya
2.93,72.0,14.0,Tidak,Rendah,P,Tidak,Ya
2.83,65.0,10.0,Ya,Menengah,P,Tidak,Tidak
2.0,75.0,11.3,Tidak,Menengah,P,Tidak,Tidak
2.8,72.0,7.6,Tidak,Rendah,P,Tidak,Tidak
2.1,54.0,1.4,Ya,Menengah,L,Tidak,Ya
2.64,72.0,6.5,Ya,Menengah,L,Tidak,Tidak
3.61,58.0,5.3,Ya,Tinggi,L,Tidak,Tidak
3.9,49.0,1.5,Tidak,Rendah,P,Tidak,Tidak
2.38,80.0,5.7,Tidak,Rendah,P,Ya,Tidak
2.98,69.0,15.8,Tidak,Rendah,L,Ya,Tidak
2.91,72.0,11.8,Ya,Menengah,L,Ya,Ya
3.28,79.0,17.2,Ya,Menengah,L,Ya,Ya
2.94,71.0,12.1,Ya,Rendah,P,Tidak,Tidak
3.24,68.0,13.6,Ya,Rendah,P,Tidak,Tidak
2.12,54.0,8.9,Ya,Tinggi,L,Tidak,Ya
3.02,74.0,12.6,Ya,Rendah,L,Ya,Ya
3.4,69.0,14.9,Tidak,Menengah,P,Ya,Ya
2.21,70.0,9.7,Ya,Menengah,L,Tidak,Ya
2.88,65.0,12.7,Ya,Rendah,P,Tidak,Ya
2.6,63.0,12.8,Tidak,Rendah,L,Tidak,Ya
2.57,69.0,8.3,Ya,Rendah,L,Tidak,Ya
2.37,68.0,8.0,Tidak,,P,Tidak,Tidak
2.52,69.0,5.8,Ya,Rendah,L,Tidak,Tidak
3.74,91.0,10.8,Tidak,Rendah,L,Ya,Ya
2.52,74.0,11.8,Tidak,Rendah,L,Tidak,Tidak
2.28,70.0,7.3,Ya,Rendah,L,Tidak,Tidak
2.33,62.0,12.1,Tidak,Menengah,L,Ya,Ya
3.31,61.0,12.8,Ya,Rendah,L,Tidak,Ya
3.15,90.0,,Ya,Menengah,L,Ya,Ya
3.17,72.0,18.2,Ya,Menengah,L,Ya,Ya
2.99,70.0,,Ya,Tinggi,P,Tidak,Ya
2.22,64.0,6.5,Tidak,Rendah,P,Tidak,Tidak
3.29,81.0,19.2,Ya,Tinggi,L,Ya,Ya
3.42,61.0,9.9,Ya,Menengah,L,Ya,Ya
3.48,73.0,,Ya,Rendah,P,Ya,Ya
2.83,84.0,12.3,Tidak,Menengah,P,Tidak,Tidak
2.91,63.0,10.9,Ya,Tinggi,P,Ya,Tidak
1.84,47.0,3.3,Ya,Rendah,L,Tidak,Tidak
2.47,81.0,11.8,Tidak,Tinggi,L,Tidak,Ya
2.88,68.0,5.8,Ya,Menengah,L,Tidak,Ya
3.43,71.0,15.9,,Menengah,L,Tidak,Ya
3.44,66.0,18.6,Ya,Tinggi,P,Tidak,Tidak
2.43,61.0,8.8,Ya,Menengah,L,Ya,Ya
2.96,74.0,13.7,Tidak,Tinggi,L,Tidak,Ya
3.02,77.0,,Tidak,Rendah,L,Ya,Ya
,59.0,9.5,Ya,Menengah,P,Ya,Tidak
2.96,75.0,15.1,Tidak,Menengah,L,Tidak,Ya
2.37,76.0,10.3,Ya,Rendah,P,Ya,Tidak
3.04,59.0,19.0,Tidak,Menengah,L,Tidak,Ya
3.17,77.0,8.6,Ya,Rendah,P,Tidak,Ya
2.5,64.0,14.5,Tidak,Rendah,L,Tidak,Ya
3.09,74.0,10.9,Tidak,Rendah,P,Tidak,Ya
3.16,77.0,13.7,Ya,Rendah,P,Tidak,Ya
3.09,78.0,8.7,Tidak,Rendah,P,Ya,Ya
3.15,75.0,10.3,Tidak,Rendah,P,Tidak,Ya
2.29,49.0,11.5,Tidak,Menengah,P,Tidak,Tidak
2.04,60.0,8.7,Ya,Menengah,P,Tidak,Tidak
2.93,77.0,14.6,Ya,Menengah,P,Tidak,Ya
3.76,59.0,13.1,Ya,Rendah,L,Ya,Ya
2.99,80.0,14.9,Ya,Tinggi,P,Ya,Ya
3.21,88.0,18.1,Ya,Menengah,P,Ya,Ya
2.7,84.0,16.3,Ya,Rendah,P,Tidak,Ya
3.23,66.0,9.0,Tidak,Rendah,L,Ya,Ya
2.98,56.0,13.5,Ya,Menengah,L,Tidak,Ya
2.81,62.0,8.0,Tidak,,P,Tidak,Tidak
3.28,76.0,12.1,Ya,Menengah,L,Ya,Ya
2.79,59.0,10.1,Tidak,Tinggi,L,Tidak,Ya
3.25,85.0,17.0,Ya,Rendah,L,Ya,Ya
2.99,,12.0,Ya,Rendah,L,Tidak,Ya
2.76,73.0,11.6,Tidak,Tinggi,L,Tidak,Ya
3.59,49.0,16.8,Tidak,Menengah,L,Ya,Ya
3.67,58.0,1.8,Ya,Rendah,L,Tidak,Ya
2.54,80.0,4.4,Ya,Tinggi,L,Tidak,Ya
3.22,72.0,15.7,Tidak,Tinggi,L,Tidak,Ya
2.28,53.0,12.2,Tidak,Menengah,P,Tidak,Tidak
3.63,85.0,13.0,Ya,Menengah,L,Tidak,Ya
2.24,63.0,5.2,Ya,Rendah,P,Tidak,Tidak
3.12,80.0,10.4,Ya,Rendah,P,Ya,Ya
3.81,85.0,,Tidak,Menengah,P,Ya,Ya
3.22,79.0,13.8,Ya,,L,Ya,Ya
3.58,49.0,12.7,Ya,Menengah,P,Tidak,Ya
2.92,77.0,10.7,Tidak,Tinggi,P,Tidak,Ya
3.01,89.0,8.9,Ya,Rendah,P,Ya,Ya
,70.0,3.5,Ya,Menengah,P,Tidak,Tidak
2.48,56.0,11.5,Ya,Rendah,P,Tidak,Tidak
3.71,82.0,,Ya,Tinggi,P,Tidak,Ya
3.75,56.0,4.2,Ya,Rendah,L,Tidak,Ya
2.66,80.0,9.4,Ya,Menengah,P,Tidak,Ya
2.37,62.0,7.4,Tidak,Menengah,L,Tidak,Ya
3.17,78.0,8.1,Tidak,Menengah,P,Tidak,Ya
,81.0,12.2,Ya,Menengah,P,Tidak,Ya
,85.0,3.7,Ya,Menengah,L,Tidak,Tidak
2.87,68.0,14.5,Ya,Menengah,P,Tidak,Ya
,71.0,15.0,Tidak,Menengah,L,Tidak,Ya
2.61,68.0,11.5,Ya,Tinggi,P,Tidak,Ya
2.08,54.0,2.1,Ya,Menengah,L,Tidak,Tidak
2.81,58.0,8.0,Ya,Menengah,P,Tidak,Ya
2.98,50.0,15.4,Tidak,Rendah,L,Tidak,Ya
1.8,53.0,1.0,Ya,Menengah,P,Ya,Tidak
2.6,74.0,10.6,Tidak,Menengah,P,Tidak,Ya
2.55,61.0,7.3,Ya,Menengah,P,Tidak,Ya
3.86,93.0,13.7,,Rendah,P,Ya,Tidak
2.14,69.0,9.8,Ya,Tinggi,P,Tidak,Ya
3.29,86.0,13.6,Tidak,Menengah,P,Ya,Ya
2.66,78.0,14.3,Tidak,Menengah,L,Tidak,Tidak
3.21,88.0,17.8,Tidak,Rendah,P,Ya,Ya
2.8,74.0,11.7,Ya,,L,Tidak,Tidak
2.97,85.0,12.0,Ya,Rendah,P,Ya,Ya
2.25,63.0,4.6,Ya,Rendah,L,Tidak,Tidak
3.33,84.0,,Ya,Tinggi,P,Tidak,Ya
2.62,,9.5,Ya,Tinggi,P,Tidak,Ya
2.14,64.0,8.3,Tidak,Rendah,L,Tidak,Tidak
3.21,76.0,11.9,Tidak,Menengah,P,Tidak,Ya
3.07,85.0,5.7,Ya,Menengah,P,Tidak,Tidak
3.22,71.0,13.4,Tidak,Tinggi,P,Tidak,Ya
2.73,81.0,15.9,Tidak,Menengah,P,Tidak,Tidak
3.27,86.0,13.2,Tidak,Menengah,P,Ya,Ya
2.86,74.0,5.6,Ya,Menengah,P,Ya,Ya
2.53,71.0,11.5,Ya,Menengah,L,Tidak,Tidak
2.73,53.0,15.0,Tidak,Menengah,L,Tidak,Ya
2.45,67.0,4.5,Ya,Menengah,L,Ya,Tidak
2.76,43.0,6.2,Ya,Rendah,P,Tidak,Tidak
4.0,91.0,16.0,Tidak,Tinggi,L,Tidak,Ya
2.5,76.0,13.6,Tidak,Tinggi,P,Tidak,Ya
3.96,84.0,13.6,Tidak,Menengah,P,Ya,Ya
2.86,71.0,17.9,Tidak,Rendah,L,Tidak,Ya
3.01,58.0,12.4,Ya,Rendah,P,Tidak,Ya
,78.0,14.6,Ya,Menengah,P,Ya,Ya
3.19,84.0,21.3,Tidak,Rendah,L,Tidak,Ya
2.96,67.0,11.6,Ya,Tinggi,L,Tidak,Tidak
2.66,68.0,8.8,Ya,Menengah,L,Tidak,Ya
3.6,100.0,13.7,Tidak,Menengah,L,Tidak,Ya
3.25,83.0,14.3,Ya,Tinggi,L,Tidak,Ya
3.3,79.0,9.9,Tidak,Menengah,P,Tidak,Ya
3.89,45.0,6.4,Ya,Rendah,L,Ya,Ya
3.68,98.0,21.2,Ya,Menengah,L,Ya,Ya
3.31,72.0,13.3,Ya,Menengah,P,Ya,Ya
2.59,49.0,9.1,Ya,Menengah,P,Tidak,Tidak
3.35,75.0,15.7,Tidak,Menengah,P,Ya,Ya
2.82,80.0,12.1,Ya,Tinggi,P,Tidak,Tidak
2.34,61.0,11.0,Ya,Menengah,L,Ya,Ya
2.73,71.0,12.7,Tidak,Rendah,L,Ya,Ya
2.24,58.0,6.8,Ya,Menengah,P,Tidak,Tidak
3.47,88.0,13.4,Ya,Menengah,P,Tidak,Ya
3.73,87.0,18.2,Ya,Rendah,P,Tidak,Tidak
2.98,79.0,12.4,Ya,Rendah,L,Ya,Tidak
3.35,76.0,10.5,Tidak,Menengah,P,Tidak,Ya
,67.0,8.5,Ya,Rendah,P,Tidak,Ya
2.93,72.0,10.9,Ya,Tinggi,L,Tidak,Tidak
2.28,57.0,9.5,Ya,Rendah,P,Tidak,Tidak
2.87,47.0,9.0,Ya,Rendah,P,Tidak,Tidak
3.14,78.0,15.7,Ya,Menengah,L,Ya,Ya
2.56,66.0,5.6,Tidak,Tinggi,L,Tidak,Tidak
3.1,86.0,,Ya,Rendah,P,Ya,Ya
2.66,83.0,9.0,Ya,Rendah,L,Tidak,Tidak
2.67,87.0,12.0,Ya,Rendah,L,Tidak,Ya
2.64,56.0,7.5,Ya,Menengah,L,Tidak,Ya
2.95,76.0,17.3,Ya,Menengah,L,Tidak,Ya
4.0,81.0,15.5,Tidak,Rendah,P,Ya,Ya
3.09,99.0,14.3,Tidak,Rendah,P,Tidak,Ya
2.32,78.0,5.9,Ya,Menengah,L,Tidak,Ya
3.49,88.0,15.8,Ya,Tinggi,P,Ya,Ya
,70.0,13.6,Tidak,Menengah,P,Tidak,Ya
2.36,55.0,5.6,Ya,Menengah,L,Tidak,Tidak
3.09,77.0,10.4,Ya,Rendah,P,Ya,Ya
2.15,62.0,12.0,Ya,Rendah,L,Ya,Tidak
2.7,71.0,12.7,Tidak,Rendah,P,Tidak,Ya
2.59,72.0,12.7,Tidak,Menengah,P,Tidak,Ya
2.64,89.0,13.7,Tidak,Tinggi,P,Tidak,Ya
3.31,77.0,18.4,Tidak,Tinggi,L,Ya,Ya
2.17,56.0,17.4,Ya,Tinggi,P,Tidak,Tidak
1.82,62.0,1.0,Ya,Tinggi,L,Tidak,Tidak
2.56,64.0,11.2,Ya,Tinggi,L,Tidak,Tidak
2.49,69.0,9.8,Ya,Rendah,L,Tidak,Ya
2.45,60.0,,Ya,Rendah,P,Tidak,Ya
2.88,68.0,10.9,Ya,Rendah,L,Ya,Tidak
3.64,86.0,17.0,Ya,Menengah,P,Tidak,Tidak
2.53,50.0,6.2,Tidak,Rendah,P,Tidak,Tidak
,70.0,13.8,Ya,Tinggi,L,Tidak,Tidak
2.76,74.0,8.3,Ya,Menengah,L,Ya,Tidak
2.73,63.0,9.3,Tidak,Menengah,L,Ya,Tidak
3.56,57.0,16.4,Tidak,Rendah,P,Tidak,Tidak
2.79,73.0,8.3,Tidak,Rendah,P,Tidak,Ya
2.96,,12.3,Tidak,Rendah,L,Tidak,Tidak
2.32,62.0,5.0,Tidak,Tinggi,P,Tidak,Tidak
2.83,63.0,19.4,Ya,Menengah,L,Ya,Ya
3.3,82.0,14.4,Ya,Menengah,P,Tidak,Ya
2.47,53.0,9.8,Ya,Rendah,P,Tidak,Tidak
